	replicates1	replicates2	replicates3
gene1361	23	16	21
gene1362	13	25	16
gene1363	18	16	13
gene1364	14	11	16
gene1365	9	10	17
gene1366	16	12	16
gene1367	25	25	18
gene1368	17	23	18
gene1369	29	22	20
gene1370	15	23	22
gene1371	19	14	10
gene1372	30	30	36
gene1373	33	25	32
gene1374	11	18	22
gene1375	20	25	13
gene1376	22	23	24
gene1377	15	18	13
gene1378	18	10	18
gene1379	11	12	16
gene1380	21	28	24
gene1381	21	25	31
gene1382	27	23	19
gene1383	22	33	38
gene1384	14	9	17
gene1385	13	19	21
gene1386	32	32	34
gene1387	20	19	36
gene1388	23	39	24
gene1389	32	14	15
gene1390	20	31	22
gene1391	15	18	17
gene1392	22	27	33
gene1393	15	16	12
gene1394	32	16	24
gene1395	11	11	9
gene1396	24	18	13
gene1397	30	24	21
gene1398	21	28	21
gene1399	19	29	21
gene1400	30	36	38
gene1401	19	21	21
gene1402	21	32	30
gene1403	44	34	39
gene1404	10	18	22
gene1405	33	37	35
gene1406	21	20	28
gene1407	20	21	21
gene1408	25	18	20
gene1409	21	17	21
gene1410	25	32	20
gene1411	20	20	16
gene1412	22	21	13
gene1413	18	21	8
gene1414	25	26	26
gene1415	5	8	8
gene1416	29	18	24
gene1417	10	15	18
gene1418	14	15	14
gene1419	24	32	25
gene1420	24	23	25
gene1421	28	22	8
gene1422	17	13	18
gene1423	16	16	17
gene1424	36	22	24
gene1425	19	10	17
gene1426	26	24	20
gene1427	13	20	21
gene1428	22	18	28
gene1429	5	4	8
gene1430	24	28	25
gene1431	10	12	16
gene1432	20	12	15
gene1433	18	18	30
gene1434	23	25	12
gene1435	6	9	11
gene1436	38	26	25
gene1437	16	20	17
gene1438	14	7	8
gene1439	13	11	14
gene1440	15	12	7
gene1441	18	19	19
gene1442	10	13	12
gene1443	18	22	19
gene1444	10	14	12
gene1445	24	14	12
gene1446	29	24	19
gene1447	17	29	29
gene1448	38	38	35
gene1449	13	15	13
gene1450	25	20	21
gene1451	20	22	19
gene1452	17	22	32
gene1453	5	7	14
gene1454	23	19	19
gene1455	9	14	10
gene1456	20	26	20
gene1457	11	19	15
gene1458	23	14	21
gene1459	28	20	23
gene1460	17	20	15
gene1461	6	7	7
gene1462	13	24	14
gene1463	26	29	22
gene1464	15	21	25
gene1465	23	26	18
gene1466	23	25	21
gene1467	13	19	18
gene1468	26	15	25
gene1469	20	30	24
gene1470	13	19	18
gene1471	28	23	26
gene1472	17	16	18
gene1473	20	21	18
gene1474	14	18	15
gene1475	17	19	20
gene1476	19	28	28
gene1477	8	9	13
gene1478	21	19	31
gene1479	17	20	20
gene1480	33	21	27
gene1481	34	29	30
gene1482	35	24	23
gene1483	19	19	22
gene1484	24	26	13
gene1485	27	28	28
gene1486	31	35	33
gene1487	23	17	20
gene1488	44	44	41
gene1489	17	17	25
gene1490	13	21	9
gene1491	26	25	21
gene1492	38	28	19
gene1493	13	14	18
gene1494	36	35	30
gene1495	18	17	13
gene1496	10	12	20
gene1497	11	13	23
gene1498	18	16	18
gene1499	20	25	13
gene1500	15	13	13
gene1501	20	16	22
gene1502	10	11	11
gene1503	16	14	12
gene1504	15	12	21
gene1505	17	23	20
gene1506	22	8	10
gene1507	25	17	28
gene1508	14	19	17
gene1509	27	28	25
gene1510	19	26	30
gene1511	28	23	28
gene1512	19	37	29
gene1513	19	21	33
gene1514	20	14	20
gene1515	12	23	11
gene1516	11	17	15
gene1517	21	21	24
gene1518	30	30	32
gene1519	22	15	20
gene1520	18	23	18
gene1521	13	15	22
gene1522	11	9	11
gene1523	12	15	16
gene1524	16	18	15
gene1525	22	19	13
gene1526	10	13	22
gene1527	22	32	23
gene1528	22	19	23
gene1529	38	28	30
gene1530	27	20	16
gene1531	24	29	27
gene1532	15	7	5
gene1533	28	41	36
gene1534	36	31	31
gene1535	25	20	16
gene1536	15	12	8
gene1537	10	10	15
gene1538	22	17	19
gene1539	22	15	22
gene1540	23	20	27
gene1541	10	6	24
gene1542	9	20	10
gene1543	15	14	24
gene1544	18	21	13
gene1545	10	34	21
gene1546	15	9	17
gene1547	30	20	34
gene1548	17	16	15
gene1549	29	35	35
gene1550	28	23	18
gene1551	21	20	23
gene1552	15	15	14
gene1553	21	23	13
gene1554	19	21	11
gene1555	28	26	24
gene1556	16	11	6
gene1557	12	16	14
gene1558	23	21	23
gene1559	32	39	30
gene1560	11	10	6
gene1561	24	13	14
gene1562	19	29	32
gene1563	31	24	25
gene1564	27	23	21
gene1565	25	32	31
gene1566	23	13	16
gene1567	11	10	10
gene1568	16	14	18
gene1569	14	14	17
gene1570	17	16	22
gene1571	23	14	16
gene1572	20	22	22
gene1573	16	13	13
gene1574	25	17	17
gene1575	17	20	22
gene1576	25	25	15
gene1577	6	9	8
gene1578	34	32	33
gene1579	15	19	20
gene1580	13	15	12
gene1581	24	23	27
gene1582	18	17	21
gene1583	14	11	18
gene1584	23	27	22
gene1585	21	21	31
gene1586	18	15	9
gene1587	7	13	14
gene1588	18	15	20
gene1589	23	19	21
gene1590	10	17	18
gene1591	20	19	18
gene1592	15	19	17
gene1593	19	17	10
gene1594	34	27	40
gene1595	22	24	16
gene1596	26	20	21
gene1597	18	19	24
gene1598	13	16	6
gene1599	14	21	17
gene1600	20	22	17
gene1601	22	26	16
gene1602	16	16	16
gene1603	28	23	28
gene1604	23	26	17
gene1605	21	24	30
gene1606	18	18	14
gene1607	7	17	14
gene1608	23	29	27
gene1609	11	6	6
gene1610	18	14	16
gene1611	14	16	20
gene1612	20	19	18
gene1613	15	14	19
gene1614	38	44	36
gene1615	30	28	23
gene1616	32	22	26
gene1617	21	20	31
gene1618	28	38	27
gene1619	10	12	9
gene1620	20	23	26
gene1621	23	19	17
gene1622	14	12	12
gene1623	18	12	14
gene1624	4	7	8
gene1625	22	27	30
gene1626	14	15	13
gene1627	27	23	21
gene1628	16	17	15
gene1629	10	16	17
gene1630	15	13	11
gene1631	7	12	13
gene1632	35	27	27
gene1633	15	17	15
gene1634	13	15	17
gene1635	43	51	53
gene1636	19	26	15
gene1637	16	17	17
gene1638	25	22	7
gene1639	20	29	29
gene1640	8	15	14
gene1641	16	16	15
gene1642	14	11	15
gene1643	22	15	26
gene1644	24	31	26
gene1645	28	26	33
gene1646	26	20	31
gene1647	13	12	8
gene1648	28	29	29
gene1649	28	29	21
gene1650	20	17	14
gene1651	14	5	11
gene1652	14	12	15
gene1653	8	12	12
gene1654	19	17	13
gene1655	23	25	35
gene1656	18	25	20
gene1657	33	42	40
gene1658	21	22	18
gene1659	14	13	19
gene1660	21	26	17
gene1661	23	19	21
gene1662	21	16	34
gene1663	28	22	31
gene1664	16	20	22
gene1665	5	7	5
gene1666	13	11	14
gene1667	12	14	10
gene1668	22	22	19
gene1669	17	23	15
gene1670	21	20	29
gene1671	9	14	16
gene1672	27	19	19
gene1673	19	35	23
gene1674	27	26	31
gene1675	23	34	27
gene1676	32	25	38
gene1677	16	21	20
gene1678	7	9	10
gene1679	10	17	14
gene1680	17	15	16
gene1681	34	32	21
gene1682	18	21	17
gene1683	22	28	16
gene1684	21	30	25
gene1685	29	28	24
gene1686	21	38	24
gene1687	18	17	24
gene1688	34	31	43
gene1689	16	9	20
gene1690	27	29	26
gene1691	40	31	30
gene1692	13	13	9
gene1693	30	26	28
gene1694	18	25	25
gene1695	25	22	21
gene1696	14	23	17
gene1697	18	15	17
gene1698	20	18	15
gene1699	28	23	21
gene1700	16	9	12
gene1701	20	15	14
gene1702	37	36	32
gene1703	20	8	10
gene1704	9	12	22
gene1705	28	23	20
gene1706	26	30	30
gene1707	7	14	11
gene1708	15	20	18
gene1709	13	15	12
gene1710	19	20	22
gene1711	24	31	26
gene1712	21	14	21
gene1713	13	23	20
gene1714	14	15	16
gene1715	23	19	28
gene1716	23	25	25
gene1717	18	16	23
gene1718	14	23	17
gene1719	28	23	15
gene1720	17	29	21
gene1721	23	11	6
gene1722	18	28	15
gene1723	24	14	25
gene1724	28	26	23
gene1725	26	32	21
gene1726	18	20	20
gene1727	19	29	19
gene1728	34	27	22
gene1729	23	17	10
gene1730	26	30	23
gene1731	30	32	20
gene1732	16	5	13
gene1733	17	22	18
gene1734	24	25	27
gene1735	23	30	21
gene1736	19	22	29
gene1737	10	13	8
gene1738	26	26	27
gene1739	13	22	9
gene1740	31	27	21
gene1741	22	25	22
gene1742	18	16	15
gene1743	33	40	34
gene1744	27	29	25
gene1745	34	31	30
gene1746	25	24	11
gene1747	14	14	24
gene1748	24	22	20
gene1749	14	17	15
gene1750	16	9	21
gene1751	17	20	18
gene1752	15	24	26
gene1753	11	14	18
gene1754	23	11	15
gene1755	11	20	9
gene1756	34	23	29
gene1757	24	28	23
gene1758	17	21	17
gene1759	17	22	26
gene1760	14	17	14
gene1761	8	22	13
gene1762	23	27	21
gene1763	4	8	10
gene1764	12	9	10
gene1765	11	22	14
gene1766	26	17	27
gene1767	13	23	26
gene1768	26	17	24
gene1769	26	28	22
gene1770	18	13	8
gene1771	15	24	13
gene1772	20	22	21
gene1773	28	17	30
gene1774	33	31	28
gene1775	10	17	9
gene1776	17	24	24
gene1777	14	15	13
gene1778	9	15	9
gene1779	15	18	17
gene1780	22	17	19
gene1781	4	18	11
gene1782	19	20	20
gene1783	20	14	24
gene1784	12	12	9
gene1785	5	10	7
gene1786	25	22	29
gene1787	18	18	10
gene1788	26	17	19
gene1789	15	20	14
gene1790	18	27	12
gene1791	25	24	35
gene1792	40	45	35
gene1793	20	22	20
gene1794	13	7	10
gene1795	19	20	25
gene1796	24	14	14
gene1797	22	20	19
gene1798	34	32	27
gene1799	36	25	28
gene1800	22	23	12
gene1801	17	15	18
gene1802	24	21	29
gene1803	18	18	19
gene1804	32	21	42
gene1805	17	14	16
gene1806	21	23	22
gene1807	19	15	19
gene1808	28	28	24
gene1809	33	22	34
gene1810	21	24	22
gene1811	19	21	28
gene1812	34	37	49
gene1813	15	16	9
gene1814	19	6	7
gene1815	9	5	4
gene1816	24	27	27
gene1817	36	56	56
gene1818	13	10	10
gene1819	20	18	15
gene1820	27	29	35
gene1821	35	46	38
gene1822	23	16	25
gene1823	23	13	29
gene1824	35	24	24
gene1825	21	20	16
gene1826	16	18	10
gene1827	31	32	35
gene1828	30	22	30
gene1829	17	17	20
gene1830	13	15	14
gene1831	33	19	31
gene1832	17	21	37
gene1833	14	11	8
gene1834	17	17	23
gene1835	24	31	19
gene1836	26	17	21
gene1837	25	27	16
gene1838	26	27	29
gene1839	19	12	11
gene1840	17	20	25
gene1841	24	20	24
gene1842	10	14	10
gene1843	27	25	22
gene1844	30	18	35
gene1845	15	20	16
gene1846	27	19	19
gene1847	8	14	22
gene1848	24	15	16
gene1849	14	14	18
gene1850	19	16	16
gene1851	34	30	38
gene1852	20	26	22
gene1853	21	18	25
gene1854	17	21	20
gene1855	24	30	35
gene1856	33	34	21
gene1857	16	17	19
gene1858	17	13	19
gene1859	19	14	8
gene1860	13	8	15
gene1861	23	19	17
gene1862	17	18	16
gene1863	22	22	24
gene1864	19	20	15
gene1865	16	28	19
gene1866	16	11	18
gene1867	14	19	31
gene1868	21	26	24
gene1869	23	27	24
gene1870	25	28	45
gene1871	20	13	7
gene1872	16	16	23
gene1873	19	27	11
gene1874	12	14	15
gene1875	39	25	35
gene1876	25	8	18
gene1877	31	34	35
gene1878	28	18	27
gene1879	29	33	31
gene1880	24	28	37
gene1881	13	19	12
gene1882	27	16	20
gene1883	29	20	32
gene1884	12	24	19
gene1885	42	28	30
gene1886	5	15	13
gene1887	29	35	31
gene1888	28	26	21
gene1889	12	10	6
gene1890	17	8	20
gene1891	23	29	25
gene1892	15	12	13
gene1893	46	36	44
gene1894	23	34	27
gene1895	19	23	24
gene1896	17	21	25
gene1897	15	24	19
gene1898	27	37	23
gene1899	13	16	16
gene1900	18	24	15
gene1901	9	14	14
gene1902	22	26	20
gene1903	19	25	25
gene1904	19	15	10
gene1905	11	10	12
gene1906	14	9	13
gene1907	14	11	12
gene1908	23	13	20
gene1909	12	9	13
gene1910	14	10	11
gene1911	18	13	14
gene1912	20	19	11
gene1913	31	26	15
gene1914	25	30	29
gene1915	15	24	19
gene1916	13	9	13
gene1917	19	14	18
gene1918	33	21	33
gene1919	15	8	13
gene1920	20	24	20
gene1921	38	27	36
gene1922	13	14	15
gene1923	35	34	34
gene1924	26	26	18
gene1925	19	28	21
gene1926	9	8	9
gene1927	20	21	15
gene1928	16	23	12
gene1929	16	16	16
gene1930	18	17	15
gene1931	38	25	26
gene1932	21	24	17
gene1933	23	20	14
gene1934	19	20	18
gene1935	34	24	28
gene1936	7	15	16
gene1937	20	15	19
gene1938	25	26	24
gene1939	19	22	17
gene1940	10	18	11
gene1941	23	16	23
gene1942	32	29	24
gene1943	19	23	27
gene1944	17	21	26
gene1945	27	28	22
gene1946	7	15	11
gene1947	24	16	26
gene1948	21	18	19
gene1949	29	24	17
gene1950	27	27	20
gene1951	13	10	13
gene1952	14	18	19
gene1953	13	18	6
gene1954	18	21	16
gene1955	26	24	30
gene1956	21	27	25
gene1957	16	19	22
gene1958	16	22	21
gene1959	23	31	25
gene1960	18	20	18
gene1961	13	10	16
gene1962	25	19	20
gene1963	19	22	30
gene1964	26	41	28
gene1965	9	2	5
gene1966	23	37	28
gene1967	13	8	8
gene1968	22	29	27
gene1969	26	33	20
gene1970	17	14	12
gene1971	27	34	37
gene1972	26	18	18
gene1973	21	23	15
gene1974	32	40	33
gene1975	20	24	20
gene1976	26	23	26
gene1977	17	18	20
gene1978	21	14	21
gene1979	20	27	16
gene1980	7	9	9
gene1981	23	20	17
gene1982	14	7	13
gene1983	17	11	8
gene1984	26	37	27
gene1985	16	12	18
gene1986	12	13	18
gene1987	11	17	16
gene1988	19	17	21
gene1989	7	9	9
gene1990	12	18	16
gene1991	22	30	23
gene1992	15	12	20
gene1993	17	16	26
gene1994	19	16	12
gene1995	19	22	13
gene1996	32	30	33
gene1997	34	31	30
gene1998	20	19	15
gene1999	25	18	22
gene2000	13	16	15
gene2001	25	16	16
gene2002	26	26	22
gene2003	12	9	10
gene2004	21	16	29
gene2005	32	29	30
gene2006	19	11	21
gene2007	15	12	25
gene2008	19	21	27
gene2009	27	30	23
gene2010	12	25	12
gene2011	24	18	13
gene2012	13	8	7
gene2013	17	13	11
gene2014	30	13	34
gene2015	15	14	20
gene2016	12	13	15
gene2017	26	26	32
gene2018	26	25	26
gene2019	19	11	20
gene2020	3	10	12
gene2021	34	27	30
gene2022	23	20	21
gene2023	12	15	12
gene2024	16	14	15
gene2025	40	36	35
gene2026	30	36	32
gene2027	17	9	15
gene2028	18	18	9
gene2029	34	28	27
gene2030	11	12	17
gene2031	40	23	27
gene2032	8	10	25
gene2033	29	26	21
gene2034	9	5	15
gene2035	28	24	33
gene2036	31	34	29
gene2037	29	32	28
gene2038	26	21	23
gene2039	12	17	15
gene2040	22	19	14
gene2041	25	23	19
gene2042	15	16	12
gene2043	17	17	19
gene2044	11	13	17
gene2045	14	17	16
gene2046	20	21	16
gene2047	14	9	9
gene2048	19	22	24
gene2049	15	19	17
gene2050	17	17	22
gene2051	32	39	33
gene2052	16	29	20
gene2053	12	9	14
gene2054	24	29	32
gene2055	19	12	11
gene2056	12	15	20
gene2057	12	8	11
gene2058	26	12	27
gene2059	21	15	16
gene2060	11	17	15
gene2061	15	18	27
gene2062	13	20	18
gene2063	19	29	31
gene2064	26	26	20
gene2065	25	16	17
gene2066	33	21	33
gene2067	5	12	14
gene2068	25	22	30
gene2069	17	12	21
gene2070	17	24	27
gene2071	13	24	21
gene2072	19	17	27
gene2073	15	15	17
gene2074	17	20	25
gene2075	20	13	18
gene2076	24	33	34
gene2077	13	11	13
gene2078	24	17	18
gene2079	18	30	19
gene2080	16	23	20
gene2081	24	30	30
gene2082	15	14	18
gene2083	9	13	18
gene2084	29	25	30
gene2085	12	7	12
gene2086	27	26	32
gene2087	17	14	13
gene2088	23	31	26
gene2089	30	19	19
gene2090	15	11	15
gene2091	27	27	24
gene2092	23	28	27
gene2093	13	15	12
gene2094	24	25	20
gene2095	24	14	17
gene2096	15	15	14
gene2097	25	22	28
gene2098	21	18	14
gene2099	16	19	16
gene2100	32	34	30
gene2101	11	18	14
gene2102	13	17	15
gene2103	16	15	12
gene2104	34	30	32
gene2105	35	27	27
gene2106	25	15	16
gene2107	12	15	12
gene2108	23	22	14
gene2109	27	14	20
gene2110	12	12	5
gene2111	18	6	10
gene2112	11	10	13
gene2113	27	24	18
gene2114	21	17	16
gene2115	24	24	16
gene2116	17	19	13
gene2117	21	26	26
gene2118	16	15	7
gene2119	13	11	24
gene2120	13	19	15
gene2121	15	22	17
gene2122	16	31	22
gene2123	13	18	24
gene2124	29	26	28
gene2125	18	23	12
gene2126	25	26	33
gene2127	12	17	12
gene2128	17	12	15
gene2129	29	34	20
gene2130	26	28	22
gene2131	19	21	23
gene2132	15	15	14
gene2133	20	12	27
gene2134	24	28	26
gene2135	21	11	10
gene2136	19	21	28
gene2137	26	18	18
gene2138	16	14	11
gene2139	20	11	16
gene2140	17	17	16
gene2141	22	27	30
gene2142	25	33	26
gene2143	17	11	9
gene2144	17	15	18
gene2145	30	32	22
gene2146	30	24	21
gene2147	15	8	15
gene2148	24	25	23
gene2149	20	11	19
gene2150	27	27	19
gene2151	19	17	19
gene2152	13	24	17
gene2153	20	24	20
gene2154	10	12	9
gene2155	26	13	25
gene2156	27	26	32
gene2157	24	26	23
gene2158	19	30	17
gene2159	14	18	11
gene2160	31	17	22
gene2161	14	18	13
gene2162	29	23	31
gene2163	26	24	31
gene2164	20	10	15
gene2165	23	20	25
gene2166	42	51	33
gene2167	14	8	8
gene2168	15	14	18
gene2169	29	44	41
gene2170	14	9	11
gene2171	17	18	15
gene2172	20	14	12
gene2173	23	26	23
gene2174	21	18	25
gene2175	23	30	30
gene2176	9	14	20
gene2177	12	12	11
gene2178	23	34	35
gene2179	22	28	25
gene2180	18	21	21
gene2181	30	27	25
gene2182	19	27	13
gene2183	11	9	11
gene2184	30	18	13
gene2185	6	9	7
gene2186	16	28	22
gene2187	26	17	21
gene2188	21	23	17
gene2189	20	22	24
gene2190	22	27	22
gene2191	11	11	11
gene2192	17	32	20
gene2193	21	42	20
gene2194	16	5	9
gene2195	21	30	24
gene2196	23	20	24
gene2197	22	31	23
gene2198	35	36	40
gene2199	15	15	16
gene2200	13	15	23
gene2201	6	10	6
gene2202	23	18	16
gene2203	12	14	12
gene2204	16	16	9
gene2205	13	16	16
gene2206	8	13	12
gene2207	9	19	8
gene2208	8	12	7
gene2209	18	22	15
gene2210	15	15	16
gene2211	15	17	13
gene2212	15	13	16
gene2213	16	15	21
gene2214	21	23	26
gene2215	8	14	14
gene2216	6	9	8
gene2217	26	25	22
gene2218	25	21	25
gene2219	18	21	24
gene2220	22	12	25
gene2221	19	15	14
gene2222	15	30	19
gene2223	17	13	11
gene2224	33	34	31
gene2225	20	19	24
gene2226	15	17	10
gene2227	5	5	3
gene2228	32	30	25
gene2229	8	9	15
gene2230	14	20	10
gene2231	19	15	15
gene2232	12	15	11
gene2233	22	27	18
gene2234	7	15	12
gene2235	16	21	12
gene2236	18	25	26
gene2237	27	24	28
gene2238	2	6	8
gene2239	18	23	16
gene2240	26	15	18
gene2241	7	7	11
gene2242	23	25	20
gene2243	25	20	29
gene2244	17	31	34
gene2245	28	31	31
gene2246	18	31	27
gene2247	13	16	16
gene2248	20	20	18
gene2249	20	21	13
gene2250	33	30	35
gene2251	20	24	16
gene2252	23	28	26
gene2253	25	30	40
gene2254	33	34	19
gene2255	10	16	24
gene2256	30	45	33
gene2257	16	11	16
gene2258	20	13	18
gene2259	38	23	24
gene2260	8	3	15
gene2261	15	16	16
gene2262	19	25	17
gene2263	38	24	31
gene2264	15	26	14
gene2265	12	22	11
gene2266	15	10	8
gene2267	22	34	9
gene2268	36	44	36
gene2269	22	28	15
gene2270	15	11	17
gene2271	27	29	27
gene2272	24	37	27
gene2273	17	19	11
gene2274	14	12	21
gene2275	15	13	9
gene2276	35	31	30
gene2277	44	34	38
gene2278	23	27	36
gene2279	5	13	15
gene2280	28	32	30
gene2281	17	20	12
gene2282	20	18	21
gene2283	15	16	20
gene2284	19	15	19
gene2285	21	18	13
gene2286	21	10	24
gene2287	16	13	24
gene2288	10	10	7
gene2289	20	18	10
gene2290	20	17	13
gene2291	17	16	15
gene2292	8	15	13
gene2293	16	16	13
gene2294	20	22	8
gene2295	19	18	21
gene2296	9	10	13
gene2297	24	18	25
gene2298	21	28	24
gene2299	21	22	27
gene2300	11	20	14
gene2301	23	18	20
gene2302	35	52	32
gene2303	17	14	22
gene2304	29	33	35
gene2305	29	37	18
gene2306	13	11	11
gene2307	15	12	22
gene2308	16	23	16
gene2309	30	32	29
gene2310	24	27	32
gene2311	20	17	21
gene2312	10	6	11
gene2313	32	15	23
gene2314	32	31	23
gene2315	16	15	18
gene2316	18	17	24
gene2317	41	51	35
gene2318	20	18	18
gene2319	22	21	15
gene2320	10	19	11
gene2321	17	19	13
gene2322	23	22	23
gene2323	23	17	27
gene2324	13	22	18
gene2325	16	25	19
gene2326	12	16	18
gene2327	23	17	27
gene2328	18	21	20
gene2329	15	15	16
gene2330	15	15	24
gene2331	15	22	22
gene2332	15	20	17
gene2333	14	21	15
gene2334	35	26	29
gene2335	20	18	12
gene2336	45	38	40
gene2337	12	10	11
gene2338	15	17	14
gene2339	23	16	17
gene2340	28	29	34
gene2341	23	47	21
gene2342	13	15	14
gene2343	16	15	15
gene2344	19	12	14
gene2345	13	8	10
gene2346	24	31	28
gene2347	18	22	14
gene2348	25	13	10
gene2349	29	29	24
gene2350	27	35	30
gene2351	30	22	32
gene2352	21	24	17
gene2353	23	22	22
gene2354	37	30	31
gene2355	30	20	30
gene2356	35	17	31
gene2357	13	17	13
gene2358	27	20	23
gene2359	18	22	16
gene2360	11	20	12
gene2361	28	25	36
gene2362	21	25	19
gene2363	15	7	11
gene2364	24	23	22
gene2365	32	38	34
gene2366	22	27	19
gene2367	22	14	24
gene2368	20	29	31
gene2369	17	20	14
gene2370	28	32	27
gene2371	19	16	17
gene2372	6	5	12
gene2373	10	22	24
gene2374	9	18	10
gene2375	34	31	26
gene2376	28	24	20
gene2377	50	39	43
gene2378	18	10	12
gene2379	19	16	22
gene2380	8	19	14
gene2381	25	19	23
gene2382	20	18	23
gene2383	14	18	9
gene2384	18	8	8
gene2385	21	10	21
gene2386	27	37	25
gene2387	27	27	16
gene2388	14	11	14
gene2389	9	15	21
gene2390	24	11	19
gene2391	18	18	19
gene2392	32	26	23
gene2393	30	27	19
gene2394	23	20	18
gene2395	20	18	20
gene2396	16	18	27
gene2397	39	43	35
gene2398	32	26	31
gene2399	22	24	27
gene2400	20	26	23
gene2401	19	15	11
gene2402	16	18	15
gene2403	15	16	16
gene2404	15	11	15
gene2405	21	16	17
gene2406	17	10	8
gene2407	14	15	15
gene2408	21	15	20
gene2409	25	25	27
gene2410	25	15	13
gene2411	22	24	14
gene2412	17	14	19
gene2413	17	26	24
gene2414	23	28	21
gene2415	12	17	24
gene2416	36	28	20
gene2417	32	28	20
gene2418	23	21	13
gene2419	6	14	14
gene2420	22	27	25
gene2421	36	29	38
gene2422	14	22	19
gene2423	20	22	15
gene2424	14	16	15
gene2425	19	16	16
gene2426	23	18	24
gene2427	20	24	27
gene2428	19	17	22
gene2429	8	10	10
gene2430	15	14	9
gene2431	10	6	16
gene2432	16	23	11
gene2433	9	10	8
gene2434	30	26	39
gene2435	12	13	17
gene2436	32	41	37
gene2437	11	14	13
gene2438	19	32	31
gene2439	9	11	19
gene2440	18	12	18
gene2441	17	9	9
gene2442	5	4	9
gene2443	17	27	29
gene2444	22	21	20
gene2445	36	22	36
gene2446	27	19	27
gene2447	20	17	34
gene2448	33	39	28
gene2449	30	45	40
gene2450	30	31	31
gene2451	24	25	25
gene2452	10	11	9
gene2453	24	28	27
gene2454	17	14	20
gene2455	21	23	13
gene2456	11	12	15
gene2457	25	17	21
gene2458	26	31	34
gene2459	5	12	11
gene2460	27	18	39
gene2461	21	18	31
gene2462	15	6	23
gene2463	21	11	18
gene2464	9	13	14
gene2465	24	19	20
gene2466	17	23	16
gene2467	30	23	30
gene2468	22	18	14
gene2469	18	14	18
gene2470	10	10	13
gene2471	9	10	13
gene2472	22	29	18
gene2473	24	26	36
gene2474	20	19	18
gene2475	30	35	28
gene2476	16	19	15
gene2477	10	5	12
gene2478	18	18	25
gene2479	12	16	18
gene2480	24	26	32
gene2481	16	25	21
gene2482	19	15	19
gene2483	17	16	14
gene2484	22	18	15
gene2485	24	34	26
gene2486	14	15	20
gene2487	12	10	21
gene2488	28	29	22
gene2489	22	23	26
gene2490	19	11	19
gene2491	14	14	17
gene2492	10	9	5
gene2493	13	18	22
gene2494	20	18	21
gene2495	17	27	14
gene2496	12	9	11
gene2497	21	18	14
gene2498	32	25	19
gene2499	26	23	31
gene2500	10	13	9
gene2501	15	12	14
gene2502	34	28	35
gene2503	6	14	8
gene2504	21	18	23
gene2505	4	8	5
gene2506	25	21	30
gene2507	31	22	23
gene2508	22	24	17
gene2509	14	10	14
gene2510	34	23	25
gene2511	17	17	18
gene2512	19	19	19
gene2513	32	23	28
gene2514	21	27	35
gene2515	15	19	11
gene2516	23	18	19
gene2517	37	30	32
gene2518	8	13	12
gene2519	15	21	19
gene2520	30	25	22
gene2521	25	15	16
gene2522	26	20	21
gene2523	22	23	21
gene2524	6	16	16
gene2525	18	31	22
gene2526	15	15	6
gene2527	17	22	17
gene2528	25	18	24
gene2529	21	26	19
gene2530	41	21	39
gene2531	18	16	18
gene2532	18	27	22
gene2533	21	15	15
gene2534	13	14	16
gene2535	21	14	26
gene2536	20	17	25
gene2537	36	18	17
gene2538	22	18	21
gene2539	41	26	36
gene2540	9	12	6
gene2541	18	23	14
gene2542	16	22	12
gene2543	17	17	13
gene2544	24	12	24
gene2545	20	12	19
gene2546	31	25	24
gene2547	19	30	23
gene2548	16	9	16
gene2549	22	19	21
gene2550	23	22	25
gene2551	23	22	30
gene2552	15	18	8
gene2553	22	18	21
gene2554	15	23	20
gene2555	20	15	16
gene2556	15	20	14
gene2557	20	9	14
gene2558	11	21	24
gene2559	19	21	20
gene2560	28	19	30
gene2561	21	24	19
gene2562	20	23	20
gene2563	29	19	23
gene2564	12	6	5
gene2565	14	14	23
gene2566	11	19	16
gene2567	10	18	20
gene2568	15	27	22
gene2569	30	30	26
gene2570	21	28	19
gene2571	20	35	27
gene2572	14	6	11
gene2573	30	31	26
gene2574	28	31	33
gene2575	18	14	21
gene2576	29	24	22
gene2577	16	20	8
gene2578	15	25	22
gene2579	18	20	12
gene2580	35	32	31
gene2581	20	15	12
gene2582	22	26	33
gene2583	12	11	9
gene2584	17	21	17
gene2585	9	9	7
gene2586	19	33	18
gene2587	24	16	23
gene2588	24	21	30
gene2589	13	9	12
gene2590	16	17	12
gene2591	23	23	24
gene2592	39	46	35
gene2593	23	23	29
gene2594	28	25	21
gene2595	15	18	20
gene2596	19	24	25
gene2597	16	11	19
gene2598	18	20	22
gene2599	34	31	28
gene2600	21	18	24
gene2601	20	26	21
gene2602	18	10	21
gene2603	15	19	25
gene2604	34	32	32
gene2605	14	11	11
gene2606	27	35	32
gene2607	26	25	38
gene2608	17	13	9
gene2609	18	17	9
gene2610	15	9	12
gene2611	24	30	43
gene2612	12	5	11
gene2613	11	8	17
gene2614	17	22	31
gene2615	22	23	29
gene2616	24	26	25
gene2617	21	19	16
gene2618	32	38	34
gene2619	14	21	22
gene2620	32	21	24
gene2621	15	25	20
gene2622	22	21	20
gene2623	16	11	15
gene2624	19	21	21
gene2625	32	30	26
gene2626	12	20	17
gene2627	19	27	33
gene2628	18	22	22
gene2629	13	25	18
gene2630	27	27	27
gene2631	22	29	25
